layer, block, cast, prune, loss, average full stack time
 0,txt,Q8_0,0,    54.543,
 1,txt,Q8_0,0,    52.328,
 2,txt,Q8_0,0,    44.217,
 3,txt,Q8_0,0,    42.025,
 4,txt,Q8_0,0,    38.563,
 5,txt,Q8_0,0,     39.09,
 6,txt,Q8_0,0,    37.419,
 7,txt,Q8_0,0,    36.411,
 8,txt,Q8_0,0,    35.832,
 9,txt,Q8_0,0,    35.983,
10,txt,Q8_0,0,    40.479,
11,txt,Q8_0,0,    31.739,
12,txt,Q8_0,0,    35.489,
13,txt,Q8_0,0,    28.811,
14,txt,Q8_0,0,    31.715,
15,txt,Q8_0,0,    23.466,
16,txt,Q8_0,0,    22.886,
17,txt,Q8_0,0,    24.263,
18,txt,Q8_0,0,    22.456,
 0,txt,Q5_1,0,    71.401,
 1,txt,Q5_1,0,    65.634,
 2,txt,Q5_1,0,    55.013,
 3,txt,Q5_1,0,     49.23,
 4,txt,Q5_1,0,    46.165,
 5,txt,Q5_1,0,    45.192,
 6,txt,Q5_1,0,    44.5,
 7,txt,Q5_1,0,    46.881,
 8,txt,Q5_1,0,    44.652,
 9,txt,Q5_1,0,    45.908,
10,txt,Q5_1,0,    53.687,
11,txt,Q5_1,0,    39.684,
12,txt,Q5_1,0,    48.975,
13,txt,Q5_1,0,    39.402,
14,txt,Q5_1,0,    40.291,
15,txt,Q5_1,0,    28.726,
16,txt,Q5_1,0,    29.998,
17,txt,Q5_1,0,    31.897,
18,txt,Q5_1,0,    27.701,

 0,txt,Q4_1,0,    97.125,
 1,txt,Q4_1,0,    77.143,
 2,txt,Q4_1,0,    61.145,
 3,txt,Q4_1,0,    58.633,
 4,txt,Q4_1,0,    53.912,
 5,txt,Q4_1,0,     52.79,
 6,txt,Q4_1,0,    52.097,
 7,txt,Q4_1,0,    53.688,
 8,txt,Q4_1,0,    53.333,
 9,txt,Q4_1,0,    53.226,
10,txt,Q4_1,0,    59.147,
11,txt,Q4_1,0,    52.841,
12,txt,Q4_1,0,     57.38,
13,txt,Q4_1,0,    49.703,
14,txt,Q4_1,0,    48.346,
15,txt,Q4_1,0,    40.715,
16,txt,Q4_1,0,    39.258,
17,txt,Q4_1,0,    39.019,
18,txt,Q4_1,0,    33.436,

 0,img,Q8_0,0,    50.604,
 1,img,Q8_0,0,    49.497,
 2,img,Q8_0,0,    46.321,
 3,img,Q8_0,0,    41.075,
 4,img,Q8_0,0,    39.591,
 5,img,Q8_0,0,    38.535,
 6,img,Q8_0,0,    38.977,
 7,img,Q8_0,0,    36.973,
 8,img,Q8_0,0,     36.53,
 9,img,Q8_0,0,    33.673,
10,img,Q8_0,0,    33.441,
11,img,Q8_0,0,    31.229,
12,img,Q8_0,0,    29.653,
13,img,Q8_0,0,    26.925,
14,img,Q8_0,0,    25.779,    
15,img,Q8_0,0,    23.405,    
16,img,Q8_0,0,    22.035,    
17,img,Q8_0,0,    20.617,    
18,img,Q8_0,0,    16.594,    

 0,img,Q5_1,0,    58.406,    
 1,img,Q5_1,0,    60.041,   0.97529
 2,img,Q5_1,0,     56.89,   0.94233
 3,img,Q5_1,0,    50.719,   0.94915
 4,img,Q5_1,0,    51.537,   0.96926
 5,img,Q5_1,0,    51.565,   0.98515
 6,img,Q5_1,0,    49.167,   0.94677
 7,img,Q5_1,0,    50.133,   0.93923
 8,img,Q5_1,0,    49.202,     0.931
 9,img,Q5_1,0,    46.328,   0.94781
10,img,Q5_1,0,    46.227,   0.93734
11,img,Q5_1,0,    43.448,   0.93587
12,img,Q5_1,0,    40.022,   0.93408
13,img,Q5_1,0,    36.134,   0.92891
14,img,Q5_1,0,    35.959,    0.9305
15,img,Q5_1,0,    32.473,   0.92849
16,img,Q5_1,0,    31.988,   0.93826
17,img,Q5_1,0,    29.314,   0.93244
18,img,Q5_1,0,    24.215,    0.9296

 0,img,Q4_1,0,    65.715,   0.93308
 1,img,Q4_1,0,    76.379,   0.92069
 2,img,Q4_1,0,     70.69,   0.91875
 3,img,Q4_1,0,    58.374,   0.91822
 4,img,Q4_1,0,    62.028,   0.91729
 5,img,Q4_1,0,    62.119,   0.92139
 6,img,Q4_1,0,     61.38,    0.9226
 7,img,Q4_1,0,    64.409,   0.91949
 8,img,Q4_1,0,    63.686,   0.91754
 9,img,Q4_1,0,    61.082,   0.91645
10,img,Q4_1,0,    58.225,   0.92114
11,img,Q4_1,0,     52.74,   0.92463
12,img,Q4_1,0,     52.07,   0.92767
13,img,Q4_1,0,     48.26,   0.92446
14,img,Q4_1,0,    45.999,   0.92599
15,img,Q4_1,0,     42.87,   0.92417
16,img,Q4_1,0,    41.366,   0.91627
17,img,Q4_1,0,    37.965,   0.91914
18,img,Q4_1,0,    30.383,   0.91874

19,linear,Q4_1,0,    20.647,   0.98592
20,linear,Q4_1,0,    17.838,   0.97602
21,linear,Q4_1,0,    17.671,   0.94691
22,linear,Q4_1,0,    15.571,   0.92685
23,linear,Q4_1,0,    13.992,    0.9222
24,linear,Q4_1,0,    13.252,   0.92287
25,linear,Q4_1,0,     12.65,   0.92348
26,linear,Q4_1,0,    11.666,   0.92334
27,linear,Q4_1,0,    11.577,   0.92628
28,linear,Q4_1,0,    11.709,    0.9225
29,linear,Q4_1,0,    11.423,   0.92495
30,linear,Q4_1,0,    11.365,   0.92421
31,linear,Q4_1,0,    11.124,    0.9259
32,linear,Q4_1,0,    11.272,   0.92292
33,linear,Q4_1,0,    11.169,    0.9234
34,linear,Q4_1,0,    10.722,   0.93671
35,linear,Q4_1,0,     10.47,    0.9188
36,linear,Q4_1,0,    10.532,   0.91653
37,linear,Q4_1,0,    9.9148,     0.921
38,linear,Q4_1,0,    9.7563,   0.92532
39,linear,Q4_1,0,    9.8871,   0.91985
40,linear,Q4_1,0,    10.173,   0.92172
41,linear,Q4_1,0,    10.283,   0.92197
42,linear,Q4_1,0,    10.734,   0.92224
43,linear,Q4_1,0,    11.009,   0.92384
44,linear,Q4_1,0,    11.989,   0.92837
45,linear,Q4_1,0,    11.817,   0.92244
46,linear,Q4_1,0,     13.39,   0.92185
47,linear,Q4_1,0,    12.953,   0.92448
48,linear,Q4_1,0,    13.476,   0.92192
49,linear,Q4_1,0,    17.208,   0.92286
50,linear,Q4_1,0,    17.568,   0.93019
51,linear,Q4_1,0,    21.313,   0.92034
52,linear,Q4_1,0,    20.707,    0.9218
53,linear,Q4_1,0,    26.104,    0.9241
54,linear,Q4_1,0,    27.343,   0.92636
55,linear,Q4_1,0,    9.2884,   0.92198
56,linear,Q4_1,0,    6.7778,   0.92666

19,linear,Q5_1,0,    16.853,   0.95502
20,linear,Q5_1,0,    14.222,   0.92574
21,linear,Q5_1,0,    13.274,   0.92693
22,linear,Q5_1,0,    11.805,   0.92924
23,linear,Q5_1,0,    10.826,   0.92579
24,linear,Q5_1,0,    9.9639,   0.93267
25,linear,Q5_1,0,     9.504,   0.92839
26,linear,Q5_1,0,    9.0606,    0.9207
27,linear,Q5_1,0,     8.988,   0.93462
28,linear,Q5_1,0,    8.9269,   0.92984
29,linear,Q5_1,0,    8.8154,   0.92463
30,linear,Q5_1,0,    8.7415,   0.94376
31,linear,Q5_1,0,    8.6758,   0.94377
32,linear,Q5_1,0,    8.6909,   0.92487
33,linear,Q5_1,0,    8.6152,   0.93607
34,linear,Q5_1,0,     8.472,   0.93335
